Movie,Year,RunTime,imdb,Genre,votes
Casino,1995,178 minutes,8.2,"Crime, Drama",503680
The Lord of the Rings: The Two Towers,2002,179 minutes,8.8,"Action, Adventure, Drama",1598149
Druk,2020,117 minutes,7.7,"Comedy, Drama",140123
Hot Fuzz,2007,121 minutes,7.8,"Action, Comedy, Mystery",494059
Hidden Figures,2016,127 minutes,7.8,"Biography, Drama, History",221316
Dances with Wolves,1990,181 minutes,8.1,"Adventure, Drama, Western",258309
Ferris Bueller's Day Off,1986,103 minutes,7.8,Comedy,346569
Inside Out,2015,95 minutes,8.2,"Animation, Adventure, Comedy",683381
Guardians of the Galaxy Vol. 2,2017,136 minutes,7.6,"Action, Adventure, Comedy",644695
Hell or High Water,2016,102 minutes,7.6,"Action, Crime, Drama",224004
Moonrise Kingdom,2012,94 minutes,7.8,"Comedy, Drama, Romance",342681
About Time,2013,123 minutes,7.8,"Comedy, Drama, Fantasy",335325
The Breakfast Club,1985,97 minutes,7.8,"Comedy, Drama",383991
Cidade de Deus,2002,130 minutes,8.6,"Crime, Drama",738629
The Intouchables,2011,112 minutes,8.5,"Biography, Comedy, Drama",827327
The Terminator,1984,107 minutes,8.1,"Action, Sci-Fi",838256
Baahubali 2: The Conclusion,2017,167 minutes,8.3,"Action, Drama",88572
Trainspotting,1996,93 minutes,8.2,Drama,671479
Mulholland Dr.,2001,147 minutes,7.9,"Drama, Mystery, Thriller",346705
All About Eve,1950,138 minutes,8.3,Drama,129110
A Star Is Born,2018,136 minutes,7.6,"Drama, Music, Romance",371264
Terminator 2: Judgment Day,1991,137 minutes,8.6,"Action, Sci-Fi",1063582
Birdman or (The Unexpected Virtue of Ignorance),2014,119 minutes,7.7,"Comedy, Drama",615826
The Empire Strikes Back,1980,124 minutes,8.7,"Action, Adventure, Fantasy",1244135
Unforgiven,1992,130 minutes,8.2,"Drama, Western",402477
Jagten,2012,115 minutes,8.3,Drama,317533
American History X,1998,119 minutes,8.5,Drama,1092588
Moneyball,2011,133 minutes,7.6,"Biography, Drama, Sport",408623
The Exorcist,1973,122 minutes,8.1,Horror,389621
Warrior,2011,140 minutes,8.2,"Action, Drama, Sport",461674
Gattaca,1997,106 minutes,7.8,"Drama, Sci-Fi, Thriller",297204
Kick-Ass,2010,117 minutes,7.6,"Action, Comedy, Crime",551426
Harry Potter and the Half-Blood Prince,2009,153 minutes,7.6,"Action, Adventure, Family",524567
Midnight in Paris,2011,94 minutes,7.7,"Comedy, Fantasy, Romance",414598
Harry Potter and the Deathly Hallows: Part 1,2010,146 minutes,7.7,"Adventure, Family, Fantasy",527787
Stardust,2007,127 minutes,7.6,"Adventure, Family, Fantasy",268592
Hauru no ugoku shiro,2004,119 minutes,8.2,"Animation, Adventure, Family",376337
Blue Velvet,1986,120 minutes,7.7,"Crime, Drama, Mystery",194263
The Incredibles,2004,115 minutes,8.1,"Animation, Action, Adventure",704911
Toy Story,1995,81 minutes,8.3,"Animation, Adventure, Comedy",958665
Falling Down,1993,113 minutes,7.6,"Action, Crime, Drama",185522
Psycho,1960,109 minutes,8.5,"Horror, Mystery, Thriller",650411
Star Trek,2009,127 minutes,8.0,"Action, Adventure, Sci-Fi",596965
X: First Class,2011,131 minutes,7.7,"Action, Adventure, Sci-Fi",677765
RoboCop,1987,102 minutes,7.6,"Action, Crime, Sci-Fi",251449
Skyfall,2012,143 minutes,7.8,"Action, Adventure, Thriller",682593
Into the Wild,2007,148 minutes,8.1,"Adventure, Biography, Drama",610008
La vita è bella,1997,116 minutes,8.6,"Comedy, Drama, Romance",673519
Almost Famous,2000,122 minutes,7.9,"Adventure, Comedy, Drama",271324
A Beautiful Mind,2001,135 minutes,8.2,"Biography, Drama",906353
